initial,target,HeiYao,H2SO4,CuSO4,PbNO3,HuangYao,Oil2
1.jpg,1.jpg,195,340,0,405,204,18
2.jpg,2.jpg,195,340,68,405,204,14
3.jpg,3.jpg,195,340,68,415,204,12
4.jpg,4.jpg,195,340,68,415,200,12
5.jpg,5.jpg,195,340,68,415,200,20
6.jpg,6.jpg,195,340,68,415,200,20
7.jpg,7.jpg,195,340,68,415,200,16
8.jpg,8.jpg,195,340,68,415,205,22
9.jpg,9.jpg,195,340,68,415,205,22
10.jpg,10.jpg,195,340,68,415,215,22
11.jpg,11.jpg,195,340,68,415,215,22
12.jpg,12.jpg,195,340,68,415,215,28
13.jpg,13.jpg,195,340,68,415,215,28
14.jpg,14.jpg,195,340,68,415,215,35
15.jpg,15.jpg,195,340,70,415,215,35
16.jpg,16.jpg,195,340,70,415,215,35
